CRC_names,CRC_pvals,CRC_pvals_adj,CRC_logfoldchanges,IBD_names,IBD_pvals,IBD_pvals_adj,IBD_logfoldchanges
PYROXD1,0.260189609,0.92747075,0.11230998,TRPC1,0.992236409,1,-0.66963285
ITM2A,0.260368734,0.927880492,-1.4035931,ANPEP,0.992236409,1,-0.5244337
TNIP3,0.260547945,0.928290336,-0.7869511,SLC3A1,0.992236409,1,-0.8229013
HOOK2,0.260932255,0.929430535,2.6342928,RGS18,0.992236409,1,-0.43861198
HPS3,0.261163029,0.930023418,0.70458066,EGR4,0.992236409,1,-1.1055533
FBXL12,0.261727738,0.931574045,1.2310789,ZNF114,0.992236409,1,-0.6553525
PITPNA,0.261856199,0.931574045,0.86009234,SH3BGR,0.992236409,1,-0.5316716
NSUN2,0.261856199,0.931574045,0.7565651,FRMD6,0.992236409,1,-1.5516016
ZADH2,0.262036116,0.93198479,0.35007143,TTC30B,0.992236409,1,-0.38935912
HEMK1,0.26221612,0.932349263,0.69718564,UHRF1BP1,0.992236409,1,-0.71475285
NDUFB11,0.262267565,0.932349263,-1.4914805,PRX,0.992236409,1,-0.5096914
LGALS8,0.262911218,0.934407668,-0.021758558,NR1I3,0.992236409,1,-0.42153236
LIMK2,0.263014304,0.934497829,0.840698,TTLL11,0.992236409,1,-0.51059204
E2F3,0.263065857,0.934497829,-0.09049503,LRRK2,0.992236409,1,-1.3023555
NOLC1,0.263788336,0.936604066,0.36224318,CD1C,0.992236409,1,-1.8059968
GPR89A,0.263891658,0.936740878,1.4457486,MID1,0.992236409,1,-1.3512026
C5orf63,0.264279368,0.93714925,0.629269,PCDH9,0.992236409,1,-0.35420945
TANGO2,0.264279368,0.93714925,0.46534345,C10orf67,0.992236409,1,-0.75442946
CUL5,0.264305229,0.93714925,0.16317882,ALOX12B,0.992236409,1,-1.0886289
TRIP6,0.264356957,0.93714925,3.6663573,ONECUT2,0.992236409,1,-1.2871064
THAP1,0.264356957,0.93714925,0.054460805,NAP1L5,0.991802434,1,0.99619824
TMEM234,0.264408691,0.93714925,1.4312234,SPIDR,0.990741617,1,1.0811646
CUL2,0.264460433,0.93714925,0.010176331,ZNF318,0.990162997,1,0.78733104
SPNS3,0.264641584,0.937561386,0.05987391,ARAP2,0.990066561,1,1.6306654
NFATC3,0.26482282,0.937927313,-0.3607544,SYCE1L,0.989970124,1,0.4893732
SH2D3C,0.264874617,0.937927313,2.9188945,CTBP1,0.988909337,1,1.4054123
ANKFY1,0.265004142,0.938018235,0.53971785,ULK4,0.98784857,1,0.5917609
QSOX1,0.265237395,0.938246122,1.1161757,WDSUB1,0.987752137,1,0.8517594
SLC44A1,0.265289249,0.938246122,1.501897,ADHFE1,0.987655705,1,1.2964983
PIK3R5,0.265315178,0.938246122,0.69290924,C14orf93,0.987655705,1,1.0973883
PNO1,0.265392976,0.938246122,0.34672758,TIAM2,0.987559273,1,1.0162154
TAB2,0.265418913,0.938246122,-0.66729176,PACRGL,0.987462841,1,1.0489186
NFX1,0.265600516,0.938520705,0.37322292,CCDC125,0.98736641,1,0.97956854
BTN3A3,0.265652418,0.938520705,0.28747118,TCEANC,0.987077116,1,0.40267092
MAGED1,0.265704327,0.938520705,1.0583025,SLC23A2,0.986980685,1,0.6322115
BNIP3,0.265756243,0.938520705,0.13749243,IL10,0.986402104,1,1.0144472
NDUFB5,0.265886064,0.93874987,-1.699886,U2AF1,0.986305674,1,1.122706
SMARCA2,0.266223803,0.939483464,-0.37684226,SLAIN2,0.985727101,1,1.2042753
PLCG1,0.266327783,0.939621054,0.68833834,RWDD2B,0.985678887,1,0.95944035
TMEM41A,0.267004328,0.941732123,0.8687182,TOP3A,0.985678887,1,0.9345604
SEC16A,0.267056419,0.941732123,0.6879657,GREM1,0.985293176,1,1.4446822
TRAK2,0.267264852,0.942237316,0.6168076,ZNF654,0.985196749,1,1.3286097
ACTG2,0.267577712,0.942972378,1.7155594,DDR2,0.984762829,1,1.0437658
IP6K1,0.267603795,0.942972378,-0.16442098,TSHR,0.984762829,1,0.9740382
MIB1,0.267838621,0.943569877,0.47346032,FBXO27,0.984762829,1,1.3017488
SRF,0.268125822,0.944213535,4.6150346,CDC42EP4,0.984762829,1,1.0719081
SLC43A3,0.268151942,0.944213535,1.7543126,IYD,0.984762829,1,1.6754931
PCBD2,0.268256438,0.944351493,0.78976876,TCL1A,0.984762829,1,0.6312377
MUC1,0.268439374,0.944719488,4.097508,GLIPR1L2,0.984762829,1,0.2254651
HAUS7,0.268491657,0.944719488,3.9112267,CRTAM,0.984762829,1,1.5034223
SLC25A24,0.268648548,0.945041536,1.093714,EPPK1,0.984762829,1,2.0535905
BBC3,0.26930294,0.946652541,1.3970724,GULP1,0.984762829,1,0.41222125
CEP250,0.26930294,0.946652541,0.88412327,TMC7,0.984762829,1,0.89729846
CIZ1,0.26974855,0.947988464,0.82844645,AREG,0.984762829,1,1.0178068
GPN2,0.270037156,0.948541594,0.5262861,CHRM3,0.984762829,1,0.052374687
DHRS4,0.270273445,0.948910508,0.86071384,ST6GALNAC2,0.984762829,1,1.4948087
NUS1,0.270404778,0.94895702,0.46554255,PTPRB,0.984762829,1,0.8489822
CSNK1E,0.270457324,0.94895702,0.7511589,ZFR2,0.984762829,1,1.5120825
C12orf43,0.270483599,0.94895702,0.66696244,GDA,0.984762829,1,0.8325842
MTA2,0.270615002,0.949187701,2.1155345,CYSLTR2,0.984762829,1,0.9445589
IVNS1ABP,0.270772744,0.949510631,-0.9474722,ARHGEF40,0.984762829,1,1.0253925
MANBAL,0.270930548,0.949695567,1.9292254,SLC30A4,0.984762829,1,1.7694559
ARGLU1,0.270956855,0.949695567,-1.4692146,HOOK1,0.984762829,1,0.75853944
FCHO1,0.271035786,0.949741977,1.9213654,NPIPA1,0.984762829,1,0.7896085
DDX59,0.271536049,0.950899923,0.4627522,PAQR7,0.984762829,1,0.48665178
DCLRE1C,0.271562396,0.950899923,0.65690404,ARHGAP32,0.984762829,1,0.49695975
INO80D,0.271720516,0.950899923,0.06812606,CENPP,0.984762829,1,1.4721552
CFD,0.271773237,0.950899923,1.7272439,SPAG8,0.984762829,1,1.3143331
C11orf1,0.271878699,0.950899923,0.593373,ZNF607,0.984762829,1,1.9137988
TP53BP1,0.271984189,0.950899923,1.5701029,CYBRD1,0.984762829,1,0.64454895
KLHDC4,0.272036944,0.950899923,0.32136798,ESCO2,0.984762829,1,0.9537322
IFIT1,0.272089707,0.950899923,28.430357,P4HA3,0.984762829,1,1.0061008
SEMA4D,0.272089707,0.950899923,-0.066175655,RASAL1,0.984762829,1,1.2224168
BGN,0.272089707,0.950899923,28.415894,ZNF436,0.984762829,1,0.09071429
C1R,0.272089707,0.950899923,28.328312,RUFY3,0.984762829,1,0.90769225
LXN,0.272195253,0.950993504,0.3419483,SPDYA,0.984762829,1,1.4011434
RNF11,0.272248037,0.950993504,-0.2739054,ZNF185,0.984762829,1,0.9936
TAOK2,0.272406429,0.951041937,1.0840478,RAB12,0.984762829,1,1.0147034
UBE2K,0.272459241,0.951041937,-0.9588465,TTYH1,0.984762829,1,0.8162447
SETD3,0.272459241,0.951041937,0.26938266,ROPN1L,0.984762829,1,0.56163466
SLC4A2,0.272564885,0.951181054,1.5197744,ZNF449,0.984762829,1,1.2842909
LETMD1,0.272776258,0.95168898,-0.5598921,KRT15,0.984762829,1,0.7855311
ELK4,0.272881986,0.951782975,0.19495912,COL27A1,0.984762829,1,0.5333342
UBALD1,0.272934861,0.951782975,0.5098281,ZNF555,0.984762829,1,0.35569406
CDKN2AIPNL,0.273199339,0.952475535,-0.3188065,NEFM,0.984762829,1,0.18473068
C2orf69,0.273305179,0.952614822,-0.26433343,SYT15,0.984762829,1,0.6286503
TCERG1,0.273675842,0.953676866,0.060306456,SCIN,0.984762829,1,1.0737054
HLA-DMB,0.273993825,0.954509592,0.82295907,CSTA,0.984762829,1,1.1731281
KPNA4,0.274046847,0.954509592,-0.21908517,BUB1,0.984762829,1,1.2277522
MYL6B,0.274338593,0.954792684,-0.5688349,RNF215,0.984762829,1,0.9851668
EXOSC3,0.274338593,0.954792684,0.13806581,CSF2RA,0.984762829,1,1.4295298
POLM,0.274365125,0.954792684,0.40600565,F2RL2,0.984762829,1,0.40778145
IER3,0.274444734,0.954792684,1.3453481,SCRN1,0.984762829,1,1.066188
SIL1,0.274471274,0.954792684,0.51604474,AMT,0.984762829,1,0.6819439
TRAF7,0.274524359,0.954792684,0.17376553,FAM91A1,0.984714616,1,1.1537117
UBE2D1,0.274710212,0.955026975,-0.46830812,VEGFA,0.984666403,1,-0.020189103
APOBEC3F,0.274736769,0.955026975,1.8819327,PDK4,0.984666403,1,0.47258946
EIF3B,0.274789889,0.955026975,0.61152047,PC,0.984666403,1,0.8025072
IRF5,0.275055594,0.955446169,1.7020495,USP13,0.984666403,1,0.4765324
HARS2,0.275108756,0.955446169,2.1400895,ZNF564,0.984666403,1,0.13283245
STAT6,0.275108756,0.955446169,0.38920975,C11orf65,0.984666403,1,0.26605347
ERVK3-1,0.275348073,0.956002787,0.9380765,EFCAB5,0.984666403,1,0.40086922
PRR7,0.275401273,0.956002787,0.9635795,PANK1,0.984666403,1,0.7977301
MICB,0.275614146,0.956467244,0.9668275,SLC29A2,0.984666403,1,-0.042421725
NR2C2AP,0.275667382,0.956467244,0.9515914,ZNF280B,0.984666403,1,0.17264208
VPS33A,0.275933666,0.957161453,0.9747179,SMKR1,0.984569978,1,0.7379276
PCNP,0.276146819,0.957533824,-1.4401264,CDKL3,0.984569978,1,-0.2622338
SMARCD2,0.276173471,0.957533824,1.3508835,SPIN3,0.984569978,1,-0.3879522
CACUL1,0.276280097,0.957673853,-0.20091426,MLXIPL,0.984569978,1,-0.21877229
TRAF3IP2,0.276386751,0.957813912,0.56979287,PSPN,0.984569978,1,0.14842053
PXK,0.276493433,0.957954002,-0.13279384,DYNC2H1,0.984569978,1,0.084119886
CARD11,0.276573463,0.958001706,0.9831021,ACY3,0.984569978,1,-0.079782955
BEX2,0.27676026,0.958419124,0.55659044,CTF1,0.984569978,1,-0.27537736
ATP2C1,0.27732117,0.960131578,0.43191347,ZNF154,0.984569978,1,0.31825167
CCNT2,0.277722293,0.961290139,0.861909,NID1,0.984569978,1,0.036319435
VPS53,0.277829326,0.961430443,0.08992747,ZBTB34,0.984569978,1,-0.26642513
C12orf76,0.277963156,0.961663392,-0.3552421,GAS7,0.984473552,1,-0.38449422
HSPA14,0.278043476,0.961711142,0.15086487,TGFB3,0.984473552,1,-0.45118576
HCFC1,0.278257738,0.962177208,0.6723591,GRAMD1B,0.984328914,1,0.96326846
SCAMP1,0.278311321,0.962177208,1.0077069,GAN,0.984232489,1,0.97607845
NELFA,0.278472113,0.962502942,0.36963436,FAM98A,0.983461098,1,0.90215397
XRRA1,0.278552532,0.962550792,-0.0830695,SRD5A1,0.983268253,1,0.47787043
TRIB3,0.279115911,0.964036752,2.0112932,POLR2J2,0.982786144,1,1.1018186
LMAN2L,0.279277019,0.964273218,2.4552915,SFT2D2,0.982448671,1,1.2682694
IFNAR1,0.279330735,0.964273218,0.056274906,FAM13A,0.982304041,1,0.6420167
RNF40,0.279384459,0.964273218,2.1189725,CCDC6,0.982062992,1,1.3614453
SHQ1,0.279491927,0.964413911,1.8044049,ZNF510,0.980809564,1,1.3491824
CREBZF,0.279814501,0.965296601,0.29288065,TAF1A,0.980809564,1,1.4413706
ZNF292,0.279975882,0.965622927,-1.3800943,SETBP1,0.980423903,1,0.81375676
PPP1R21,0.280244992,0.966320558,0.3981165,PLCE1,0.980423903,1,0.47336173
GCDH,0.280406543,0.966647066,0.082983226,RNF157,0.980134661,1,0.728514
RNF41,0.280514278,0.966787945,0.41812575,TONSL,0.980038247,1,1.06835
RASGRP2,0.282079599,0.971256691,0.46333107,DDX21,0.979652596,1,1.906591
RARS2,0.282160725,0.971304705,0.050242823,CXCR5,0.979556183,1,0.71674883
KDM2B,0.282431258,0.972004554,-0.33860406,ANXA2R,0.97936336,1,1.2316297
RNF220,0.282729048,0.972614491,0.5668324,GIMAP5,0.97936336,1,0.247931
TUBB2A,0.2828103,0.972614491,1.0794728,TRIM65,0.978977717,1,1.2428604
PUS3,0.2828103,0.972614491,0.92394453,SLC25A53,0.978110038,1,0.9773485
USP47,0.282918661,0.972755768,-0.78825814,SGPL1,0.977724411,1,0.9844255
HDAC6,0.283271029,0.973735743,2.1472325,TTLL5,0.977435194,1,0.8921113
COA1,0.283488018,0.97401848,-0.5406723,ALDH5A1,0.977290587,1,0.6528134
REV3L,0.283488018,0.97401848,-0.02047696,CDKL4,0.977290587,1,1.3320792
HDAC5,0.283813713,0.974905836,1.9217046,NANOS1,0.977290587,1,0.75380033
FAM210B,0.283976655,0.975233844,0.32103005,CDAN1,0.977290587,1,1.6541433
NQO1,0.284166835,0.975655213,0.86481696,GBGT1,0.977290587,1,0.45118693
NPHP3,0.28430273,0.975890046,0.5622622,MTSS1,0.977290587,1,1.0353243
BLCAP,0.284629058,0.976501453,-0.030814875,ENTPD7,0.977290587,1,1.064282
PUS1,0.284656264,0.976501453,0.7149916,HK2,0.977290587,1,0.41336864
CYSLTR1,0.284683471,0.976501453,0.672004,ALG10B,0.977290587,1,1.0731789
UNC50,0.284846751,0.976829775,-0.211287,NUDT13,0.977290587,1,0.82249916
ITGB7,0.285227985,0.977396687,0.04155235,LYPD3,0.977290587,1,0.9957534
C1GALT1C1,0.285282475,0.977396687,0.049612638,HIC1,0.977290587,1,1.196064
GBA,0.285500505,0.977680319,1.5768957,ANO10,0.977290587,1,1.0931492
C12orf73,0.285500505,0.977680319,0.8357737,CLPB,0.977290587,1,1.8508887
OLA1,0.285773202,0.978105986,-1.007069,ATP8B1,0.977290587,1,1.2477555
EIF2S3,0.285800481,0.978105986,-1.3785868,CCNI2,0.977290587,1,1.0115818
MRPS27,0.285827763,0.978105986,0.02389022,ZNF674,0.977290587,1,0.37404224
RHBDD1,0.286209883,0.978504498,0.6263376,ZNF554,0.977290587,1,1.1511872
UNG,0.28623719,0.978504498,0.42895612,ZNF839,0.977290587,1,0.69960475
TARBP2,0.2862645,0.978504498,1.1666815,HOMER2,0.977290587,1,1.2287081
BUB3,0.286373754,0.978504498,-1.9755268,SLC45A4,0.977290587,1,1.1734422
TK2,0.286483037,0.978504498,1.1771977,CCDC171,0.977290587,1,0.55996853
MRPL48,0.286483037,0.978504498,-0.034783855,TRPM3,0.977290587,1,1.3581865
IARS2,0.286537689,0.978504498,-0.06872382,PRRT2,0.977290587,1,1.1821582
ALG12,0.286592348,0.978504498,1.3127717,CYB5RL,0.977290587,1,0.27788574
KRAS,0.286647014,0.978504498,-0.6738769,SYK,0.977290587,1,0.58214647
C1orf216,0.286701687,0.978504498,3.0627513,ZNF615,0.977290587,1,0.9127115
NAPG,0.286756367,0.978504498,-0.09054201,ZNF41,0.977290587,1,1.1661079
SPPL2B,0.286756367,0.978504498,2.8493295,PNPLA8,0.977290587,1,1.2978408
PDS5A,0.287084596,0.979304658,-0.3671303,ZNF726,0.977290587,1,0.9993868
RNF135,0.287139326,0.979304658,0.7519488,ZNHIT3,0.977242385,1,1.805425
B3GNT2,0.287194062,0.979304658,-0.5092811,ZNF597,0.977194183,1,0.44228274
TMCO4,0.287303556,0.979447021,1.12768,TIMD4,0.977194183,1,0.19373961
PCBP1,0.287413078,0.979545175,-1.5069767,RAP1GAP2,0.977194183,1,0.09173767
TMEM38B,0.28746785,0.979545175,1.0837842,MYO10,0.977194183,1,0.41546717
KCTD5,0.287577415,0.979643452,0.61810565,FBXW9,0.977194183,1,0.7291291
RCE1,0.287741814,0.979697799,1.0480833,ADCK1,0.977194183,1,0.98073125
UBXN11,0.287796628,0.979697799,0.2822876,PM20D1,0.977097779,1,0.9191955
SH3TC1,0.287851449,0.979697799,0.7677245,CDKL5,0.977097779,1,0.74824053
DTX2,0.287961112,0.979703106,1.2518358,NRSN2,0.977001375,1,0.2373943
ATP2A3,0.287988532,0.979703106,-0.31235412,KLHL26,0.977001375,1,0.023668205
NCOA7,0.288180523,0.980125617,-0.04819436,MEGF8,0.977001375,1,0.08894007
PUS7L,0.288619682,0.981388374,-0.6268081,ITPRIPL2,0.977001375,1,-0.17149855
PHF5A,0.288784483,0.981717861,-0.5354849,FRY,0.976904972,1,-0.07419968
EBAG9,0.288949348,0.982047408,-0.2409211,SLC16A13,0.976808568,1,-0.473638
CAMK2G,0.289169266,0.982563865,0.07632813,NHLRC3,0.975892756,1,1.4313619
AAMDC,0.289279267,0.982706683,0.6454397,ATL2,0.975507161,1,0.7225812
SKIV2L,0.289361787,0.982756098,1.8778375,CHM,0.974591394,1,1.1364647
KCTD10,0.289581916,0.983135309,1.7736613,DNAJC27,0.973772052,1,0.9359172
FAHD2A,0.28960944,0.983135309,0.9573869,ZDHHC20,0.973772052,1,1.0755407
TOP2B,0.289719554,0.983234329,-0.08535408,SMCR8,0.97357927,1,1.1987945
RRP1,0.289774622,0.983234329,0.48030472,GINS4,0.973386489,1,0.71936905
PRKCI,0.289967413,0.983657641,1.3120561,ISYNA1,0.97319371,1,0.9557858
RFC5,0.29024298,0.983850937,1.3780967,SOS2,0.972808156,1,1.0304956
KDM5C,0.29038083,0.983850937,0.48465714,HPS5,0.972615382,1,1.0914088
RNF24,0.290463561,0.983850937,1.4107122,TTC39B,0.971410578,1,1.4216869
FHOD1,0.290573893,0.983850937,1.2780719,F8,0.971266006,1,0.3189692
PPP2R2B,0.290656661,0.983850937,-0.24406064,BCL2,0.970832295,1,1.7000011
PPIF,0.290656661,0.983850937,0.8925704,ARHGAP17,0.970735916,1,0.7155525
EXOSC5,0.290684254,0.983850937,1.4361165,NIPAL3,0.970591348,1,1.2678566
NF2,0.290711848,0.983850937,0.14775153,KIAA1328,0.970205839,1,0.80708724
MED12,0.290794643,0.983850937,1.1994283,KANK2,0.969916712,1,0.97361237
CYTH1,0.290877453,0.983850937,-1.021234,NEURL2,0.969916712,1,0.7838324
PRELID2,0.291015505,0.983850937,1.2517594,C4orf36,0.969916712,1,1.2535669
GDAP2,0.291043121,0.983850937,0.73665136,TWSG1,0.969916712,1,0.54305303
SKAP2,0.291098357,0.983850937,-0.11638063,ADAMTSL5,0.969916712,1,0.83454204
NPEPL1,0.291125978,0.983850937,0.77409196,SGSM1,0.969916712,1,1.0108194
PACSIN2,0.291125978,0.983850937,1.5137984,MCTP2,0.969916712,1,1.273467
RAB11FIP4,0.291153601,0.983850937,0.9268993,RALGPS2,0.969916712,1,0.8406307
WDR77,0.291181226,0.983850937,1.4260832,AGO4,0.969916712,1,0.5305939
MRPL47,0.291457568,0.984554559,-1.053864,POLR1B,0.969916712,1,0.9906267
CHIC2,0.291623458,0.984748197,-0.73944074,ALS2,0.969916712,1,1.1264584
FAM160A2,0.291651112,0.984748197,0.72775626,NEU3,0.969916712,1,0.90367883
AKAP8L,0.291761748,0.984891746,0.1818437,ASAH2B,0.969820337,1,0.67881477
HMGCL,0.291955428,0.985315494,-0.29351413,CHRNA6,0.969820337,1,0.72649777
FBXW7,0.292093824,0.985552509,0.122272335,TSTD3,0.969820337,1,0.722003
SEC22A,0.292370747,0.986256712,0.6383547,CPEB3,0.969820337,1,1.0230377
CPM,0.292592413,0.986731012,0.6868182,TCFL5,0.969820337,1,0.65066004
TMEM9,0.292647848,0.986731012,1.3021913,PKIG,0.969723963,1,1.2422754
PHF23,0.292758737,0.986874754,1.6684121,ERBB2,0.969723963,1,1.0993283
CD2AP,0.292925124,0.987205464,1.0362148,PRDM15,0.969627589,1,0.38130674
BNIP3L,0.293174823,0.987816732,-0.9488895,ASCC3,0.969531215,1,1.47092
ZNF143,0.293258088,0.987867065,-0.059957907,MMAA,0.969531215,1,0.43015352
PCGF1,0.293591307,0.988759169,1.2423819,PLK4,0.969531215,1,0.41020268
ANKHD1,0.293758011,0.988773712,-0.112409666,ZHX3,0.969434842,1,0.39687163
TMEM156,0.293869182,0.988773712,-0.38261122,CCDC18,0.968712058,1,0.72819304
CA11,0.293869182,0.988773712,1.6644412,GABPB2,0.968663874,1,1.1042451
GGCX,0.294008187,0.989011252,0.02401099,FANCD2,0.967025663,1,0.95456904
MAL2,0.29448113,0.989365423,28.018175,ZNF280C,0.967025663,1,1.2964611
ACVR2B,0.29448113,0.989365423,28.120428,PIK3R4,0.966543863,1,0.8820406
CXCL1,0.29448113,0.989365423,28.191496,PNMA5,0.966158432,1,1.0868375
PRSS3,0.29448113,0.989365423,28.130571,C2CD3,0.966158432,1,1.2012807
TMEM70,0.29448113,0.989365423,-0.5412611,HYPK,0.966062075,1,1.0360126
MZF1,0.294536804,0.989365423,1.3758686,DIAPH2,0.965869363,1,0.87668365
EMC1,0.294592485,0.989365423,1.5331498,HSDL2,0.965869363,1,1.3676577
NOP2,0.294703868,0.989509644,1.7734565,NETO2,0.965387592,1,1.2706882
MRRF,0.294870996,0.989755454,0.7929737,ERLIN1,0.96529124,1,0.5917005
TMEM63A,0.294926719,0.989755454,0.1283414,TAF13,0.964809484,1,0.79539704
HACL1,0.294982449,0.989755454,0.17168233,VPS13A,0.964713135,1,1.3910688
TRMU,0.295149683,0.989950633,0.94409424,ATXN1L,0.964520437,1,0.901786
C1orf52,0.295177561,0.989950633,-0.058624152,BRCA2,0.963846012,1,0.72208834
ARHGAP27,0.29531698,0.990188519,0.28592187,TRMT11,0.963749667,1,0.8789265
TSHZ2,0.29548434,0.990434816,0.24284181,PHF10,0.963267954,1,0.91368175
RELL2,0.295568044,0.990434816,2.7422955,SLC25A16,0.962786253,1,0.45379505
RBM26,0.295595949,0.990434816,-0.38113415,USP54,0.962641746,1,0.9436017
SLC35A1,0.295958873,0.991284964,0.32616237,POLN,0.962641746,1,1.3546549
SPSB2,0.295986802,0.991284964,1.3163967,NLK,0.962641746,1,1.2934474
PCMTD1,0.296210303,0.991803741,-0.80335313,DERL3,0.962641746,1,0.80276656
GPATCH11,0.296378002,0.992135482,0.83652127,SNTA1,0.962545408,1,0.8358237
DRG1,0.296545764,0.992467282,-0.22053991,ABTB2,0.962449071,1,0.74365073
NXPE3,0.29671359,0.992799142,0.40980417,SLC39A14,0.962352734,1,1.1649412
DRAM2,0.29688148,0.992952465,-0.7101126,RNF32,0.962352734,1,0.4354244
CHD3,0.296937457,0.992952465,-0.5297527,LRRC69,0.962352734,1,1.2248334
TMEM218,0.297105432,0.993190829,-0.08366812,ZNF778,0.962256398,1,0.5438098
PRPF4B,0.297329496,0.993710092,-1.1379371,C1orf54,0.962160063,1,0.6415695
GCH1,0.297777965,0.994978926,0.42411298,GZF1,0.962063728,1,0.07132947
IRAK2,0.298086548,0.995779879,1.454265,PPM1N,0.962063728,1,0.58699137
HIBCH,0.298226884,0.995975996,-0.4891874,TP53INP1,0.961919227,1,1.2334515
ARNT,0.298283031,0.995975996,0.95713866,FANCM,0.96187106,1,0.20511308
ATF6,0.298395346,0.996120967,-0.053835534,MCF2L2,0.961437565,1,1.3092116
PPP2R5D,0.2984796,0.996172221,1.9185351,KCTD9,0.961341234,1,1.317853
WDR82,0.298676256,0.996462296,-0.559597,SESN2,0.960426121,1,1.3744166
DVL2,0.298704357,0.996462296,1.6092353,GPR161,0.96018531,1,-23.117281
CEP290,0.29929488,0.997929232,0.12939703,KMO,0.96018531,1,-24.301813
ITGB3BP,0.29929488,0.997929232,-0.021373866,GRIP1,0.96018531,1,-23.281622
ARHGEF12,0.299351161,0.997929232,-0.33632797,AMIGO1,0.96018531,1,-23.957144
KIFAP3,0.299463744,0.998074413,0.8426191,KNG1,0.96018531,1,-23.56412
OARD1,0.299773492,0.998646349,-0.62553704,PLEKHA7,0.96018531,1,-23.198317
IKBIP,0.299886181,0.998791617,0.28076643,KRT1,0.96018531,1,-23.27464
GLO1,0.300139834,0.999176083,-0.75742334,GATA2,0.96018531,1,-23.676813
ABCB7,0.300139834,0.999176083,0.56122833,GRIN2A,0.96018531,1,-24.478222
POLR3D,0.300224417,0.999227584,0.5135923,RAPGEF3,0.96018531,1,-23.89061
CENPT,0.300562908,1,0.37249547,AMHR2,0.96018531,1,-23.837122
ZCCHC2,0.300958134,1,0.602614,FRK,0.96018531,1,-22.677176
NCAPD2,0.300986378,1,2.1315415,GRIN2C,0.96018531,1,-23.12353
SMIM20,0.301099371,1,-0.4591833,FPGT-TNNI3K,0.96018531,1,-22.886187
LRPPRC,0.301099371,1,0.649116,FPR1,0.96018531,1,-23.656404
MBIP,0.301155877,1,-0.14421757,PLEKHA4,0.96018531,1,-23.458817
DYRK4,0.301184133,1,0.37762973,NBEA,0.96018531,1,-22.82784
ZC3H6,0.30132544,1,-0.078321435,GRIK4,0.96018531,1,-22.800463
RRM1,0.301438518,1,0.2585469,GRIN2B,0.96018531,1,-22.980854
RRP9,0.302060948,1,0.95762455,RASAL2,0.96018531,1,-23.297062
DBT,0.302117575,1,1.0702202,FAM167A,0.96018531,1,-23.692652
MREG,0.302174209,1,1.8324724,ADCY10,0.96018531,1,-24.02627
GTF2IRD2,0.30223085,1,0.91674775,PON3,0.96018531,1,-23.039429
THOP1,0.30223085,1,1.9555814,HTRA3,0.96018531,1,-23.721601
USP48,0.302315824,1,-0.82375026,HSF2BP,0.96018531,1,-23.059925
DOCK8,0.302400815,1,-1.6064624,FABP3,0.96018531,1,-23.642115
TNK2,0.302457485,1,0.84455,GAB2,0.96018531,1,-23.290161
DEXI,0.302514161,1,1.069957,LCA5,0.96018531,1,-23.480509
UBR4,0.302570844,1,0.42730814,HSD17B6,0.96018531,1,-23.06915
TBC1D22A,0.302684232,1,0.35410163,LILRA6,0.96018531,1,-23.65166
RPE,0.303081313,1,1.0997185,LILRB5,0.96018531,1,-23.569199
COX16,0.303138067,1,0.74650055,LIMCH1,0.96018531,1,-22.565384
NUP188,0.303308372,1,0.514668,PLXNA2,0.96018531,1,-23.505875
PINX1,0.303450341,1,0.08147548,HSPA12A,0.96018531,1,-22.491344
EXOC4,0.303990226,1,0.018335888,HOXC9,0.96018531,1,-22.679441
DPP9,0.304160849,1,0.49432784,RBP4,0.96018531,1,-24.27833
SETDB2,0.304530749,1,-0.097390436,FZD7,0.96018531,1,-23.813932
PRKCD,0.305442545,1,2.6050353,LINGO4,0.96018531,1,-24.02405
SH2B1,0.305870572,1,0.21627443,AKR1B15,0.96018531,1,-22.491344
ZNF37A,0.305927672,1,0.279956,PAX5,0.96018531,1,-23.03272
TP53I11,0.306013336,1,2.2224178,GPRASP2,0.96018531,1,-23.104939
FURIN,0.306041894,1,-0.534229,POLQ,0.96018531,1,-22.374983
VPS11,0.306327572,1,1.0930749,FZD1,0.96018531,1,-24.474314
BUD13,0.306327572,1,1.2539294,FA2H,0.96018531,1,-22.5663
MLYCD,0.306441893,1,0.9879349,POF1B,0.96018531,1,-23.367493
CEPT1,0.306441893,1,0.19787537,LAMC2,0.96018531,1,-24.135612
CTC1,0.306727818,1,0.9148363,NFATC4,0.96018531,1,-23.33305
SIN3A,0.30724293,1,0.16247153,GABRP,0.96018531,1,-23.18216
P2RX5,0.307300199,1,0.20641656,NES,0.96018531,1,-23.263266
BMPR2,0.307328837,1,0.62908274,HPGDS,0.96018531,1,-23.069468
TBC1D2B,0.307701287,1,-0.011713576,ADAMTS12,0.96018531,1,-23.104939
CLIP1,0.30790196,1,-1.037037,LGALS12,0.96018531,1,-22.800463
ZNF44,0.30810272,1,-0.17810972,EYS,0.96018531,1,-24.914474
WDR13,0.308160096,1,0.32106242,HOXD9,0.96018531,1,-23.475584
AGPAT1,0.308160096,1,0.95318556,HOXD8,0.96018531,1,-23.47139
FBXO6,0.308360968,1,0.20744292,RDM1,0.96018531,1,-24.71303
RENBP,0.308389671,1,0.09458884,LHX4,0.96018531,1,-23.85959
RAB3GAP2,0.3085045,1,0.23371184,PCDH7,0.96018531,1,-23.713745
